# t_days flux
1.325923603399294507e+03 1.359310468750000000e+05
1.325924992307238199e+03 1.359182343750000000e+05
1.325926381214715775e+03 1.358745156250000000e+05
1.325927770122658103e+03 1.358856562500000000e+05
1.325929159030136134e+03 1.359110312500000000e+05
1.325930547938079826e+03 1.359403125000000000e+05
1.325931936845557402e+03 1.359129687500000000e+05
1.325933325753500185e+03 1.359033437500000000e+05
1.325934714660977761e+03 1.359427968750000000e+05
1.325936103568455110e+03 1.360019843750000000e+05
1.325937492476398120e+03 1.359413593750000000e+05
1.325938881383875696e+03 1.358621250000000000e+05
1.325940270291818479e+03 1.359181875000000000e+05
1.325941659199296055e+03 1.359325156250000000e+05
1.325943048106774086e+03 1.358829687500000000e+05
1.325944437014717323e+03 1.358930937500000000e+05
1.325945825922193990e+03 1.358799062500000000e+05
1.325947214829672021e+03 1.359563906250000000e+05
1.325948603737615713e+03 1.358809531250000000e+05
1.325949992645092379e+03 1.358841875000000000e+05
1.325951381552569956e+03 1.359064843750000000e+05
1.325952770460513648e+03 1.359596718750000000e+05
1.325954159367990769e+03 1.358491093750000000e+05
1.325955548275468345e+03 1.358731406250000000e+05
1.325956937183411583e+03 1.358712812500000000e+05
1.325958326090888704e+03 1.360028750000000000e+05
1.325959714998366280e+03 1.360276250000000000e+05
1.325961103905843629e+03 1.359676250000000000e+05
1.325962492813787549e+03 1.359202812500000000e+05
1.325963881721264670e+03 1.359498281250000000e+05
1.325965270628742246e+03 1.358409843750000000e+05
1.325966659536220277e+03 1.358829062500000000e+05
1.325968048444162605e+03 nan
1.325969437351640181e+03 1.358625781250000000e+05
1.325970826259118212e+03 1.358882500000000000e+05
1.325972215166594879e+03 1.358686718750000000e+05
1.325973604074537889e+03 1.358954375000000000e+05
1.325974992982016147e+03 1.360194062500000000e+05
1.325976381889493268e+03 1.359471093750000000e+05
1.325977770796970844e+03 1.359490625000000000e+05
1.325979159704447966e+03 1.359430937500000000e+05
1.325980548611926224e+03 1.360110781250000000e+05
1.325981937519869234e+03 1.359598750000000000e+05
1.325983326427345901e+03 1.358338437500000000e+05
1.325984715334823932e+03 1.359196875000000000e+05
1.325986104242301508e+03 1.359424218750000000e+05
1.325987493149778174e+03 1.358190468750000000e+05
1.325988882057256205e+03 1.359145937500000000e+05
1.325990270964733782e+03 1.358792500000000000e+05
1.325991659872210903e+03 1.358953281250000000e+05
1.325993048779689161e+03 1.359385781250000000e+05
1.325994437687631716e+03 1.358332968750000000e+05
1.325995826595108838e+03 1.359559062500000000e+05
1.325997215502586869e+03 1.358799062500000000e+05
1.325998604410064445e+03 1.358057812500000000e+05
1.325999993317542021e+03 1.359001093750000000e+05
1.326001382225019142e+03 1.358876250000000000e+05
1.326002771132497173e+03 1.358964687500000000e+05
1.326004160039974749e+03 1.359259218750000000e+05
1.326005548947451416e+03 1.358464375000000000e+05
1.326006937854929447e+03 1.359223750000000000e+05
1.326008326762407023e+03 1.359508593750000000e+05
1.326009715669883690e+03 1.359213593750000000e+05
1.326011104577361721e+03 1.358974375000000000e+05
1.326012493484839297e+03 1.359509375000000000e+05
1.326013882392316418e+03 1.359454062500000000e+05
1.326015271299794449e+03 1.358524375000000000e+05
1.326016660207272025e+03 1.359609062500000000e+05
1.326018049114749374e+03 1.358362031250000000e+05
1.326019438022226723e+03 1.359101875000000000e+05
1.326020826929704299e+03 1.359525000000000000e+05
1.326022215837181420e+03 1.359420937500000000e+05
1.326023604744193335e+03 1.359972343750000000e+05
1.326024993651671366e+03 1.358900937500000000e+05
1.326026382559148942e+03 1.359459843750000000e+05
1.326027771466625609e+03 1.359062968750000000e+05
1.326029160374103640e+03 1.359206093750000000e+05
1.326030549281581671e+03 1.358815625000000000e+05
1.326031938189058337e+03 1.359019218750000000e+05
1.326033327096535913e+03 1.359793281250000000e+05
1.326034716004013944e+03 1.359818906250000000e+05
1.326036104911025404e+03 1.359211875000000000e+05
1.326037493818502981e+03 1.359061093750000000e+05
1.326038882725980557e+03 1.359439531250000000e+05
1.326040271633457678e+03 1.359228125000000000e+05
1.326041660540935254e+03 1.359604531250000000e+05
1.326043049448412603e+03 1.359311562500000000e+05
1.326044438355424290e+03 1.359252812500000000e+05
1.326045827262901867e+03 1.359170625000000000e+05
1.326047216170378988e+03 1.359441250000000000e+05
1.326048605077857019e+03 1.359271406250000000e+05
1.326049993985334595e+03 1.358999218750000000e+05
1.326051382892346510e+03 1.359186093750000000e+05
1.326052771799824541e+03 1.359517812500000000e+05
1.326054160707301207e+03 1.359148281250000000e+05
1.326055549614778556e+03 1.358103593750000000e+05
1.326056938521791153e+03 1.359282968750000000e+05
1.326058327429267820e+03 1.359047656250000000e+05
1.326059716336744941e+03 1.359129687500000000e+05
1.326061105244222972e+03 1.359202187500000000e+05
1.326062494151234887e+03 1.359640937500000000e+05
1.326063883058712463e+03 1.358938281250000000e+05
1.326065271966189584e+03 1.358978437500000000e+05
1.326066660873667615e+03 1.358414843750000000e+05
1.326068049780679530e+03 1.358891562500000000e+05
1.326069438688156197e+03 1.359242656250000000e+05
1.326070827595634228e+03 1.359368125000000000e+05
1.326072216502646143e+03 1.359476562500000000e+05
1.326073605410123264e+03 1.359830156250000000e+05
1.326074994317601522e+03 1.359106406250000000e+05
1.326076383224612755e+03 1.359138437500000000e+05
1.326077772132089876e+03 1.358925312500000000e+05
1.326079161039567907e+03 1.358943906250000000e+05
1.326080549946578913e+03 1.358805781250000000e+05
1.326081938854056489e+03 1.359607812500000000e+05
1.326083327761068858e+03 1.359926875000000000e+05
1.326084716668546889e+03 1.359991250000000000e+05
1.326086105576024465e+03 1.359257343750000000e+05
1.326087494483035471e+03 1.359087500000000000e+05
1.326088883390513502e+03 1.358829218750000000e+05
1.326090272297525416e+03 1.359881562500000000e+05
1.326091661205002083e+03 1.358793593750000000e+05
1.326093050112480114e+03 1.359045468750000000e+05
1.326094439019491801e+03 1.359404843750000000e+05
1.326095827926969150e+03 1.359258281250000000e+05
1.326097216833981520e+03 1.359380156250000000e+05
1.326098605741459096e+03 1.359556093750000000e+05
1.326099994648470783e+03 1.359701875000000000e+05
1.326101383555948132e+03 1.359511406250000000e+05
1.326102772462960047e+03 1.358583593750000000e+05
1.326104161370437168e+03 1.359241406250000000e+05
1.326105550277449083e+03 1.359451562500000000e+05
1.326106939184927114e+03 1.359832968750000000e+05
